,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PAYMENTS,1479.577413292575,2172.342817503928,2741.7336582653365,887.0686072312835,2855.8715788406525,919.5223368139207,2564.5005898658137,987.4317586284053,2630.5506623047168,980.7518286757054,1012.7031511253889,2943.2368199647426,681.3141364221646,958.9186799139093,3423.8497262558803,990.3797155905131,2462.2558524852343,2598.3679944398987,678.1886961784777,859.3778857700346,3462.489178263753,2455.4994058723255,882.2478600293261,2564.9839548968794,659.6118263157367,2440.6492913569687,2466.863385597919,782.8934517826352,1511.7616934424516,680.3962657072788,3624.2133873649946,1499.5131785529031,963.9374607738508,2726.3295041451283
MINIMUM_PAYMENTS,648.8660726262847,1591.1047259930665,626.7185129030663,345.2719748877063,636.4789946806816,246.8534577993771,1639.6915805810354,798.1600048595934,1694.5173303321521,253.12366230899542,839.6107003497148,654.8377598116183,342.20196698506555,255.29711484632787,1722.2914423354996,836.3128794814303,312.4388051683463,1623.2431193273799,341.931041305536,242.2842887382434,1689.6182482356608,307.71601620729945,860.3662783329238,1953.6512842356353,339.1943033860758,698.5361893809613,315.01494975101934,227.8182843966598,2203.171641868239,332.63765044067344,1618.1126288803675,348.14653339962507,581.9645367600261,1615.5394838197763
PRC_FULL_PAYMENT,0.1537146484916212,0.018376487362637355,0.27165595494367956,0.16417112816341375,0.27452250890410945,0.235610011618901,0.019468361788617876,0.016120478005865115,0.01769591262975778,0.2315420372476551,0.015325553161592499,0.2747136495664739,0.16890836015831137,0.22559508951175464,0.042266449484536076,0.014242499760421645,0.3469937370550162,0.0191527904583723,0.16905917880794705,0.23278780841568422,0.04531089166666666,0.35095645394736846,0.011003961252653913,0.009214358565737048,0.172509295640327,0.057220878016085865,0.3455566325823224,0.23691203046744577,0.02362658627450979,0.17081782075471702,0.051857538641686164,0.1982462410454984,0.01485192576177284,0.01902251528878821
TENURE,11.58413407821229,11.552197802197803,11.848560700876096,11.51825741142444,11.857534246575343,11.506842241156725,11.53089430894309,11.569752827817345,11.71712802768166,11.907307364230878,11.911943793911007,11.915462427745664,8.353562005277045,11.905364677516577,11.894845360824743,11.912314326784859,11.905339805825243,11.71842843779233,8.349668874172185,11.900860694931463,11.904166666666667,11.905427631578947,11.914012738853502,11.711819389110225,8.30517711171662,11.78686327077748,11.909012131715771,11.89941569282137,11.905882352941177,8.335579514824797,11.887587822014051,11.908034849951598,11.90415512465374,11.668176670441676
Monthly_avg_purchase,71.03092942763638,42.448547412508184,222.22764969209808,36.758980093746864,231.33334464965228,44.63021520659183,47.52492336357185,27.93115037977781,48.598000809347816,44.463308151532374,27.432815669576346,236.23127203757252,49.679330762868055,40.09692627449909,265.50317624960775,27.241110467395586,198.31866752534614,31.879518709073924,50.14953696783352,41.36708723833815,269.48684462594514,198.62623905125645,29.35578502380495,35.39880268991376,50.74693783248996,21.26705606500664,200.47230898846743,37.2314141561694,62.4660515522876,49.977312866341514,284.19093209317805,55.782241828986876,21.228432997565665,32.77978219053503
Monthly_cash_advance,73.6365778972795,222.7948446875679,32.4756755051574,36.454198371662464,32.49417917741196,25.10329045853245,277.07376260313225,72.71893533049034,270.70426416239866,23.24073895817983,58.6482563503278,33.06832046736959,123.2123760662387,24.398443272121945,94.85747728397291,56.96019463053858,16.38794170021973,280.21932984316123,123.71069560698939,13.324115745661269,92.06355377612368,14.914695935472112,39.290096279498535,267.21593366743105,119.45892910017503,257.3778171779592,16.8681711692417,17.59321701912216,40.15613133845368,122.97304053767495,99.13990448659692,40.32237587540593,66.9287275898947,318.1318514350292
limit_usage,0.38394485411419293,0.7066990681567065,0.2831444413750732,0.3068780410266542,0.28089175029359653,0.09853638698185631,0.650919323336797,0.7724936298317486,0.6597154431488483,0.09858131452383402,0.7862085397549504,0.2844449983672644,0.3360656975521333,0.09904404856299073,0.598132223698769,0.7905898949322899,0.1812376270406379,0.6459828784824105,0.33517569251986934,0.09210732584374377,0.5883740399402045,0.177511376365655,0.8179527381167635,0.7299796164265308,0.3344687912323827,0.4194298763706883,0.19359207243229948,0.0936417581533975,0.8304786869680529,0.33289650251559677,0.5561945101676788,0.11661623913920777,0.7707843873110605,0.6441186353459298
cluster_3,1.4147486033519554,0.0,1.0,2.0,0.9965753424657534,1.972889233152595,0.008130081300813009,1.4897360703812317,0.007785467128027681,1.9516633494455502,1.4805620608899297,0.9971098265895953,1.646437994722955,1.9912597950572635,0.7814432989690722,1.4916147580258745,1.0679611650485437,0.0,1.6463576158940398,1.9977685686962066,0.8020833333333334,1.0682565789473684,1.526008492569002,0.0,1.6662125340599454,0.82171581769437,1.0623916811091854,2.0,0.27647058823529413,1.6590296495956873,0.8524590163934426,1.7734753146176185,1.7041551246537396,0.0
cluster_4,1.507709497206704,2.312087912087912,0.1520650813516896,1.6346710050614606,0.0,1.0,2.0,3.0,2.0025951557093427,1.0036963321012227,2.9934426229508198,0.000722543352601156,1.658311345646438,1.0274261603375527,0.49690721649484537,2.9923334930522283,0.15453074433656958,2.0140318054256316,1.6622516556291391,1.015938795027096,0.44375,0.14638157894736842,2.9808917197452227,2.0,1.6525885558583107,2.1193029490616624,0.14211438474870017,1.003338898163606,2.588235294117647,1.65633423180593,0.3231850117096019,1.0813165537270086,2.965096952908587,2.0045300113250284
cluster_5,1.6727374301675977,0.8637362637362638,2.8035043804755944,1.6122559652928417,2.945890410958904,1.3408210689388071,0.22845528455284553,2.176790950984499,0.0,1.0,2.0,3.0,4.0,1.0081374321880652,2.3484536082474228,1.9956875898418782,2.6480582524271843,0.03461178671655753,3.989403973509934,1.0111571565189672,2.4,2.651315789473684,1.9915074309978769,0.005312084993359893,3.9931880108991824,0.9865951742627346,2.707105719237435,1.006677796327212,1.4294117647058824,3.9946091644204853,2.5152224824355973,1.058083252662149,1.9706371191135734,0.020385050962627407
